Part Type,OP,Total run time (including set up and take down) in hrs,Total # of machines / servers,Special Notes,59 Made
D,600,6.00,2,"[29742,29050]",
D,625,8.00,3,"[29140,21149,29050]",
D,650,5.50,2,"[21335,29050]",
D,660,4.00,2,"[21335,29050]",
D,700,1.00,2,"[29714,29050]",
D,750,3.00,1,[29384],
D,775,5.00,1,[Mask Plating],
D,800,5.00,2,"[29391,29502]",
D,850,23.00,2,"[29385,29050]",
D,900,1.00,5,[29388],
D,950,2.00,2,"[21278,28935]",
D,1000,2.00,1,[Mask Plating],
D,1050,1.30,1,[CAD PLATE],
D,1100,23.00,1,[29385],
D,1150,1.00,1,[29376],
D,1200,2.00,1,[29389],
D,1250,1.00,1,[29713],
D,1300,1.00,1,[21268],
D,1325,2.00,5,[Processing inspection],
D,1350,1.46,1,[29713],
D,1400,4.00,1,[29349],
D,1450,1.72,1,[29350],
D,1500,2.00,1,[28935],
D,1550,4.00,1,[28935],
D,1700,5.00,1,"[29353,29349]",
D,1800,7.50,1,[28935],
D,1850,3.14,1,[29353],
